,МОЛ,Цена,Количество,Сумма
79,"Ключ разводной 888 6833210 10"", с обрезиненной рукояткой, шт",334.0,2.0,668.0
80,"Контейнер для мусора IDEA 50 л, шт",757.61,7.0,5303.27
81,"Конференц стол Сенатор 80х110х75 см,ЛДСП,дуб альпийский, ",13190.85,2.0,26381.7
82,"Корзина для мусора 10 л пластик черная, арт.325533, шт",64.94,150.0,9741.0
83,"Корзина офисная 10 л, шт",63.84,58.0,3702.72
84,"Лезвие Carbide (5шт.) для ножа Stenley 0-11-800, шт",219.96,3.0,659.88
85,"Лента K-FLEX, шт",679.34,5.0,3396.7
86,"Лента Scotch монтажная двухсторонняя прозрачная 19 мм*1,5м, шт",630.86,29.0,18295.05
87,"Лента оградительная красно-белая, шт",146.25,11.0,1608.75
88,"Лента-фум, рул",83.5,4.0,334.0
89,"Магнитный браслет с неодимовыми магнитами MasterProf. HS.110038, шт",682.5,1.0,682.5
90,"Мини-валик малярный в сборе STAYER MASTER DUALON 03-05812-11, ",172.8,6.0,1036.8
91,"Монтировка АВТОДЕТАЛЬ, шт",819.95,1.0,819.95
92,"Набор бит KRAFTOOL 25556-H43, компл",1164.15,1.0,1164.15
93,"Набор отверток диэлектрических 1000В с пробником, 8 предметов, пластиковый кейс, Энкор 19835, компл",676.6,1.0,676.6
94,"Набор силовых отверток с держателем, 6предметов МАСТАК 04-6GRB, к-т",2068.5,2.0,4137.0
95,"Насадка для шуруповерта Torsion PH2 25мм, шт",19.04,16.0,304.64
96,"Настенный кондиционер DAIKIN FAA71A/RR71BV Nord-40T (пульт BRC1H519W7), шт",267641.64,1.0,267641.64
97,"Нож кровельный Stenley 99 RETRACTABLE 2-10-099 с трапециевидным лезвием, ",452.08,1.0,452.08
98,"Отвертка тестер 70-250 В,SPARTA, шт",259.35,2.0,518.7
99,"Очиститель монтажной пены, шт",208.75,2.0,417.5
100,"Пакет ПНД 25+12*45 12мкм, 100 шт.уп.,белый, упак",54.95,1.0,54.95
101,"Перчатки рабочие трикотажные Комус , упак",147.12,2.0,294.24
102,"Пистолет для герметика Inforce, шт",208.75,1.0,208.75
103,"пистолет для пены, шт",501.0,4.0,2004.0
104,"Пленка воздушно-пузырчатая, шт",964.8,1.0,964.8
105,"Пленка воздушно-пузырьковая трехслойная 1,5*50 м, рул",2244.95,1.0,2244.95
106,"Пленка укрывная 2,7*20м с малярной лентой (для крепления к поверхности), шт",668.0,3.0,2004.0
107,"Полотно техническое вафельное , рул",1822.36,2.0,3644.72
108,"Присоска для снятия стекол двойная TOPEX 14А780, шт",770.25,1.0,770.25
109,"Растворитель 646, м3",167.0,8.0,1336.0
110,"Розетка RJ-45, шт",49.75,66.0,3283.5
111,"Саморез 4,2*32 ШСММ с прессшайбой, упак",219.35,1.0,219.35
112,"Саморез Tech-krep 3.5*16 ШСГД редкая резьба, упак",312.0,1.0,312.0
113,"Саморез прессшайба ШСММ 4,2*19 мм острый оцинкованный, шлиц PY2, упак",175.5,1.0,175.5
114,"Саморез с прессшайбой сверло 4,2*25 ШСММ, упак",195.0,1.0,195.0
115,"Саморез ШСГМ 3,5*51, упак",170.6,1.0,170.6
116,"Саморезы универсальные оцинкованные 3,5*30 мм, шт",2.34,1000.0,2340.0
117,"саморезы универсальные оцинкованные 6*80, шт",3.34,200.0,668.0
118,"Сверло HSS 3*61 мм по металлу, шт",58.45,3.0,175.35
119,"Сверло по кафелю и стеклу Курс 6 мм, шт",88.51,12.0,1062.12
120,"Сверло по металлу HSS-CO (3.5*70*39 mm), к-т",62.46,4.0,249.84
121,"Сверло по металлу HSS-Co 4.5*80 мм Dexter Pro, шт",75.15,8.0,601.2
122,"Сверло спиральное HSS 6.0*93mm ""MP 10, шт",91.85,4.0,367.4
123,"Сетевой фильтр Defender DFS 153,6роз./3м/10А/125Дж,черный, шт",242.6,34.0,8248.4
124,"Сетевой фильтр Defender DFS 605.6роз./5м/10А/220Дж,белый, шт",386.97,86.0,33279.42
125,"Сетевой фильтр PILOT-S.6роз./5м/10Ф/80ДЖ, белый, шт",733.7,47.0,34483.9
126,"Сетевой фильтр PILOT-S.6роз./7м/10А/80Дж,белый, шт",850.41,32.0,27213.12
127,"Силиконовая смазка 400 мл Akfix YA14, ",345.6,7.0,2419.2
128,"Силиконовый герметик, прозрачный SOUDAL PROFIL, шт",169.5,6.0,1017.0
129,"Сменное жало держатель для бит Dexter, шт",321.75,1.0,321.75
130,"Соединительная клемма 221-415, шт",55.72,13.0,724.36
131,"Стекло для пожарного шкафа ТОИР-М, шт",39.5,2.0,79.0
132,"Стол приставной на металлокаркасе коллекции Тандем-А, 60*60*75 см цвет дуб альпийский арт. ПК-ТНА-СТП60*60-В2-30, шт",9340.65,5.0,46703.25
133,"Стрейч-пленка для ручной упаковки, 20мкм*50 см*220 м,престрейч 180%, 6 шт. в упак., упак",1648.5,4.0,6594.0
134,"Стяжка межсекционная мебельная, М6*30, шт",4.01,100.0,401.0
135,"Телескопический удлинитель для малярных валиков, шт",292.25,3.0,876.75
136,"Уголок крепежный услиенный 50*50*35*2 мм, шт",16.7,26.0,434.2
137,"Удлинитель 25 м на катушке LUX ПВС 2*0,75, 4 розетки б/з 24025, шт",1144.25,3.0,3432.75
138,"Удлинитель в бухте POWER CUBE, 1 розетка с заземлением, 10м, 3х0,75мм, 1300Вт, оранж, PC-EG1-B-10, шт",375.99,2.0,751.98
139,"Удлинитель РАДИСТ ПРЕМИУМ P16-012, 3 розетки с заземлением, 7м, 3х0,75мм, 1300Вт, белый, шт",258.02,13.0,3354.26
140,"Чашка для опечатывания с флажком , шт",733.2,15.0,10998.0
141,"Чистящая жидкость-спрей BRAUBERG для маркерных досок, ",179.22,80.0,14337.6
142,"Шпатель KRAFTOOL 10035-100, ",420.32,2.0,840.64
143,"Шпатель STAYER MASTER 60 мм 10041-06 Высота лезвия, ",179.6,2.0,359.2
144,"Шпатель STAYER PROFESSIONAL 10045-20, ",569.04,2.0,1138.08
145,"Штангенциркуль 150мм TOREX 31C615, шт",579.64,1.0,579.64
146,"Шуруп-крюк (HS) 6*60, шт",16.7,26.0,434.2
147,"Экран на рабочий стол коллекции Тандем-А,140*48 смс комплектом крепежа, арт.ПТ-ТНА-ЭКР 140*2/НК-В1/3-297, шт",3618.3,26.0,94075.8
148,"Экран на рабочий стол коллекции Тандем-А,150*48 смс комплектом крепежа, арт.ПТ-ТНА-ЭКР 150*2/НК-В1/3-297, шт",3664.8,11.0,40312.8
149,"Экран разделительный для стола из древесины (Древесных материалов), шт",3829.01,23.0,88067.23
150,"Экран фронтальный двухсторонний с тканевой накладкой, шт",7576.0,37.0,280312.0
151,Итого,,4371.0,1613559.99
