,Unnamed: 0,Основное средство,Инвентарный номер,ОКОФ,Амортизационная группа,Способ начисления амортизации,Дата принятия к учету,Состояние,Срок полезного использования,"Мес. норма износа, %","Износ, %",Балансовая стоимость,Количество,Сумма амортизации,Остаточная стоимость
12,8,Кресло руководителя Амбассадор,4101340600013.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
13,9,Кресло руководителя Амбассадор,4101340600017.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
14,10,Кресло руководителя Амбассадор,4101340600018.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
15,11,Кресло руководителя Амбассадор,4101340600020.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
16,12,Кресло руководителя Амбассадор,4101340600021.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
17,13,Система СКУД,11013404000365.0,320.26.30.11.130,4.0,Линейный,15.12.2020,Введено в эксплуатацию,84.0,1.19,25,220512.0,1.0,55127.94,165384.06
18,14,"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",11013405000015.0,330.28.25.13.110,5.0,100% при вводе в эксплуатацию,28.10.2020,Введено в эксплуатацию,120.0,0.833,100,15004.26,1.0,15004.26,0.0
19,15,"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",11013405000016.0,330.28.25.13.110,5.0,100% при вводе в эксплуатацию,28.10.2020,Введено в эксплуатацию,120.0,0.833,100,15004.26,1.0,15004.26,0.0
20,16,"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",11013405000019.0,330.28.25.13.110,5.0,100% при вводе в эксплуатацию,28.10.2020,Введено в эксплуатацию,120.0,0.833,100,15004.26,1.0,15004.26,0.0
21,17,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003668.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
22,18,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003669.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
23,19,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003672.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
24,20,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003674.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
25,21,"Огнетушитель  ""Bontel"" 2 кг",4101340400014.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100,4300.0,1.0,4300.0,0.0
26,22,"Огнетушитель  ""Bontel"" 2 кг",4101340400015.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100,4300.0,1.0,4300.0,0.0
27,23,"Огнетушитель  ""Bontel"" 2 кг",4101340400019.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100,4300.0,1.0,4300.0,0.0
28,24,"Огнетушитель  ""Bontel"" 2 кг",4101340400021.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100,4300.0,1.0,4300.0,0.0
29,25,Ручная гидравлическая тележка KRONA CL 25-115,11013404000309.0,330.28.22.14.159,4.0,100% при вводе в эксплуатацию,16.04.2019,Введено в эксплуатацию,84.0,1.19,100,16915.0,1.0,16915.0,0.0
30,26,Ручная гидравлическая тележка KRONA CL 25-115,11013404000310.0,330.28.22.14.159,4.0,100% при вводе в эксплуатацию,16.04.2019,Введено в эксплуатацию,84.0,1.19,100,16915.0,1.0,16915.0,0.0
31,27,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003659.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
32,28,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003660.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
33,29,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003661.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
34,30,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003663.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
35,31,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003664.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
36,32,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003665.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
37,33,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003666.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
38,34,Система СКУД,11013404000361.0,320.26.30.11.130,4.0,Линейный,19.11.2020,Введено в эксплуатацию,84.0,1.19,26.19,483700.0,1.0,126683.26,357016.74
39,35,Считыватель ESMART Reader Stone (система контроля удаленного доступа),11013406000075.0,330.26.70,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,16694.7,1.0,16694.7,0.0
40,36,Считыватель ESMART Reader Stone (система контроля удаленного доступа),11013406000076.0,330.26.70,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,16694.7,1.0,16694.7,0.0
41,37,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000066.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.71,1.0,11192.71,0.0
42,38,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000068.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.71,1.0,11192.71,0.0
43,39,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000069.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.71,1.0,11192.71,0.0
44,40,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000071.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.71,1.0,11192.71,0.0
45,41,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000072.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.71,1.0,11192.71,0.0
46,42,"IP-камера купольная RVi-IPC33VS (2.8 мм,) (система видеонаблюдения)",11013403000073.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.84,1.0,11192.84,0.0
47,43,"Блок питания БИРП-12/1,6 (система контроля удаленного доступа)",11013401000005.0,320.26.30.11.190,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,10004.66,1.0,10004.66,0.0
48,44,"Блок питания БИРП-12/1,6 (система контроля удаленного доступа)",11013401000006.0,320.26.30.11.190,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,10004.66,1.0,10004.66,0.0
49,45,Система автоматической пожарной сигнализации,11013406000077.0,330.26.30.50,6.0,Линейный,21.10.2019,Введено в эксплуатацию,180.0,0.556,19.44,168754.83,1.0,32813.55,135941.28
50,46,Настенный кондиционер,11013405000003.0,330.28.25.12.190,5.0,100% при вводе в эксплуатацию,17.10.2019,Введено в эксплуатацию,120.0,0.833,100,42174.0,1.0,42174.0,0.0
51,47,Настенный фанкойл Lessar,11013405000004.0,330.28.25.12.190,5.0,100% при вводе в эксплуатацию,17.10.2019,Введено в эксплуатацию,120.0,0.833,100,44200.0,1.0,44200.0,0.0
52,48,"Система СКУД (Кожевнеческая ул., дом 10 стр 1, этаж 10, пом 2-15, 19-36)",11013404000340.0,320.26.30.11.130,4.0,Линейный,19.11.2019,Введено в эксплуатацию,84.0,1.19,40.48,190731.0,1.0,77200.74,113530.26
53,49,"Тревожная сигнализация (Яузская ул., дом 6, строение 4)",11013406003846.0,330.26.30.50,6.0,100% при вводе в эксплуатацию,29.08.2022,Введено в эксплуатацию,180.0,0.556,100,36391.06,1.0,36391.06,0.0
54,50,"Тренажер Т11 ""Максим II-01""",11013403010948.0,330.32.99.53.120,3.0,100% при вводе в эксплуатацию,19.04.2022,Введено в эксплуатацию,60.0,1.667,100,50000.0,1.0,50000.0,0.0
55,51,"Тревожная сигнализация(Яковоапостольский пер., дом 12стр1)",11013406000123.0,330.26.30.50,6.0,100% при вводе в эксплуатацию,07.04.2020,Введено в эксплуатацию,180.0,0.556,100,34801.12,1.0,34801.12,0.0
56,52,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000164.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
57,53,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000168.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
58,54,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000175.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
59,55,"Система СКУД (Яковоапостольский переулок, дом № 12, строение 1)",11013404000352.0,320.26.30.11.130,4.0,Линейный,10.06.2020,Введено в эксплуатацию,84.0,1.19,32.14,197906.0,1.0,63612.54,134293.46
60,56,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003662.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
61,57,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003667.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
62,58,"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",11013405000017.0,330.28.25.13.110,5.0,100% при вводе в эксплуатацию,28.10.2020,Введено в эксплуатацию,120.0,0.833,100,15004.26,1.0,15004.26,0.0
63,59,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003671.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
64,60,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003673.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
65,61,"Огнетушитель  ""Bontel"" 2 кг",4101340400016.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100,4300.0,1.0,4300.0,0.0
66,62,"Огнетушитель  ""Bontel"" 2 кг",4101340400017.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100,4300.0,1.0,4300.0,0.0
67,63,"Система СКУД (Яковоапостольский пер., дом 12 стр 1, 5 этаж, каб. 516.01)",11013404000960.0,320.26.30.11.130,4.0,Линейный,22.08.2022,Введено в эксплуатацию,84.0,1.19,1.19,167620.0,1.0,1995.48,165624.52
68,64,"Система СКУД (Яковоапостольский пер., дом 12 стр 1, 5 этаж, каб. 516)",11013404000961.0,320.26.30.11.130,4.0,100% при вводе в эксплуатацию,22.08.2022,Введено в эксплуатацию,84.0,1.19,100,69551.0,1.0,69551.0,0.0
69,65,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000163.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
70,66,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000165.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
71,67,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000167.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
72,68,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000169.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
73,69,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000170.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
74,70,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000172.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
75,71,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000174.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
76,72,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000176.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
77,73,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000177.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
78,74,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000178.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
79,75,"Система СКУД (Нижний Сусальный пер, дом 5, стр. 19,4,5а(на вход в здание))",11013404000351.0,320.26.30.11.130,4.0,Линейный,21.05.2020,Введено в эксплуатацию,84.0,1.19,33.33,184042.0,1.0,61347.44,122694.56
80,76,"Система СКУД (Яковоапостольский пер., д.12, стр. 1, этаж 6 помещение 3,4)",11013404000358.0,320.26.30.11.130,4.0,100% при вводе в эксплуатацию,27.08.2020,Введено в эксплуатацию,84.0,1.19,100,69416.28,1.0,69416.28,0.0
81,77,"Система СКУД (Нижний Сусальный пер. дом 5 стр 15,17)",11013404000626.0,320.26.30.11.130,4.0,Линейный,26.05.2020,Введено в эксплуатацию,84.0,1.19,33.33,184042.0,1.0,61347.44,122694.56
82,78,Система вентиляции и кондиционирования,11013405000005.0,330.28.25.12.190,5.0,Линейный,22.11.2019,Введено в эксплуатацию,120.0,0.833,28.33,177867.58,1.0,50395.82,127471.76
83,79,Тепловизор CEM DT-870,11013403000449.0,330.26.51.66,3.0,100% при вводе в эксплуатацию,19.08.2020,Введено в эксплуатацию,60.0,1.667,100,56980.0,1.0,56980.0,0.0
84,80,"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",11013405000018.0,330.28.25.13.110,5.0,100% при вводе в эксплуатацию,28.10.2020,Введено в эксплуатацию,120.0,0.833,100,15004.26,1.0,15004.26,0.0
85,81,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003670.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
86,82,"Система СКУД (Нижний Сусальный переулок, дом 5, строение16, 3 этаж, помещения 305 и 306)",11013404000362.0,320.26.30.11.130,4.0,Линейный,13.11.2020,Введено в эксплуатацию,84.0,1.19,-,105852.0,1.0,0.0,105852.0
87,83,"Система СКС (Нижний Сусальный переулок дом 5, строение 19, этаж а2)",11013404000656.0,320.26.30,4.0,Линейный,31.05.2021,Введено в эксплуатацию,26.0,5.263,88.46,445635.16,1.0,394215.73,51419.43
88,84,"Система ВОЛС (Нижний Сусальный переулок дом 5, строение 5а, этаж 4)",11013404000655.0,320.26.30,4.0,Линейный,31.05.2021,Введено в эксплуатацию,14.0,14.286,100,150401.22,1.0,150401.22,0.0
89,85,"Система СКУД (Нижний Сусальный пер, дом 5, стр 19, пом:1,3,4,13,14,16)",11013404000342.0,320.26.30.11.130,4.0,Линейный,13.12.2019,Введено в эксплуатацию,84.0,1.19,39.29,239847.0,1.0,94225.56,145621.44
90,86,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000067.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.71,1.0,11192.71,0.0
91,87,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000070.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.71,1.0,11192.71,0.0
92,88,Автоматизированной системы хранения ключей (АСХК),11013406003794.0,330.26.30.50,6.0,Линейный,02.12.2021,Введено в эксплуатацию,180.0,0.556,5,590470.54,1.0,29523.51,560947.03
93,89,"Система СКУД (Яковоапостольский пер., дом 12, стр. 1, этаж 3 помещение 9)",11013404000357.0,320.26.30.11.130,4.0,100% при вводе в эксплуатацию,27.08.2020,Введено в эксплуатацию,84.0,1.19,100,68456.14,1.0,68456.14,0.0
94,90,"Система СКУД (Нижний Сусальный пер, дом 5, стр 17, этаж 6, пом 1, комната 1)",11013404000339.0,320.26.30.11.130,4.0,100% при вводе в эксплуатацию,17.10.2019,Введено в эксплуатацию,84.0,1.19,100,76545.18,1.0,76545.18,0.0
95,91,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0301-B305,11013402000179.0,320.26.30.11.130,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
96,92,"Система СКУД (Яковоапостольский пер., дом 12 стр 1, 2 этаж, каб. 214)",11013404000959.0,320.26.30.11.130,4.0,Линейный,22.08.2022,Введено в эксплуатацию,84.0,1.19,1.19,121006.0,1.0,1440.55,119565.45
97,93,"Система СКУД (Яковоапостольский пер., дом 12 стр 1, 6 этаж, каб. 603)",11013404000962.0,320.26.30.11.130,4.0,100% при вводе в эксплуатацию,22.08.2022,Введено в эксплуатацию,84.0,1.19,100,90024.0,1.0,90024.0,0.0
98,94,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000166.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
99,95,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000171.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
100,96,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000173.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
101,97,Логгер Testo 174T с USB-интерфейсом,11013403000445.0,330.26.51.51,3.0,100% при вводе в эксплуатацию,22.07.2020,Введено в эксплуатацию,60.0,1.667,100,12706.5,1.0,12706.5,0.0
102,98,Система СКУД (Пресненская наб. д.6 стр.2 этаж 6),11013404000788.0,320.26.30.11.130,4.0,Линейный,09.09.2021,Введено в эксплуатацию,84.0,1.19,14.29,431675.1,1.0,61667.88,370007.22
103,99,Система видеонаблюдения (Пресненская наб. д.6 стр.2 этаж 6),11013404000789.0,320.26.30.11.130,4.0,Линейный,09.09.2021,Введено в эксплуатацию,84.0,1.19,14.29,587877.1,1.0,83982.48,503894.62
104,100,Дозиметр-радиометр МКС-03СА,11013403010741.0,330.26.51.41,3.0,100% при вводе в эксплуатацию,14.03.2022,Введено в эксплуатацию,60.0,1.667,100,41551.2,1.0,41551.2,0.0
105,101,Система СКУД,11013404000363.0,320.26.30.11.130,4.0,Линейный,30.11.2020,Введено в эксплуатацию,84.0,1.19,26.19,565609.0,1.0,148135.68,417473.32
106,102,Биометрическая система СКУД,11013404000364.0,320.26.30.11.130,4.0,Линейный,17.12.2020,Введено в эксплуатацию,84.0,1.19,25,203279.93,1.0,50820.0,152459.93
107,"101.36, Инвентарь производственный и хозяйственный – иное движимое имущество учреждения",,,,,,,,,,,39059473.59,3085.0,37914679.91,1144793.68
108,1,,,,,,,,,,,39059473.59,3085.0,37914679.91,1144793.68
109,04100000000000000,,,,,,,,,,,39059473.59,3085.0,37914679.91,1144793.68
110,Кузнецов Максим Сергеевич,,,,,,,,,,,39059473.59,3085.0,37914679.91,1144793.68
111,,,,,,,,,,,,39059473.59,3085.0,37914679.91,1144793.68
112,103,Термогигрометр TESTO 410-2,11013603000141.0,330.26.51.51,3.0,100% при вводе в эксплуатацию,15.07.2020,Введено в эксплуатацию,60.0,1.667,100,14060.0,1.0,14060.0,0.0
113,104,"Стеллаж СТ-150 2000х1000х600 5 полок, 150кг на полку",11013606004482.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,06.09.2021,Введено в эксплуатацию,180.0,0.556,100,12213.0,1.0,12213.0,0.0
114,105,"Стеллаж СТ-150 2000х1000х400 6 полок, 150кг на полку",11013606004489.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,06.09.2021,Введено в эксплуатацию,180.0,0.556,100,11216.49,1.0,11216.49,0.0
115,106,Металлический складской стеллаж СТ-300 (настил фанера),11013606004496.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,06.09.2021,Введено в эксплуатацию,180.0,0.556,100,24603.0,1.0,24603.0,0.0
116,107,Станция рабочая с экраном на металлоопорах на два рабочих места,11013606002899.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,18.08.2020,Введено в эксплуатацию,180.0,0.556,100,14285.0,1.0,14285.0,0.0
117,108,Станция рабочая с экраном на металлоопорах на два рабочих места,11013606002901.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,18.08.2020,Введено в эксплуатацию,180.0,0.556,100,14285.0,1.0,14285.0,0.0
118,109,Станция рабочая с экраном на металлоопорах на два рабочих места,11013606002906.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,18.08.2020,Введено в эксплуатацию,180.0,0.556,100,14285.0,1.0,14285.0,0.0
119,110,"Кресло для персонала CHAIRMAN 901,экокожа, черный/серый",11013606004416.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,31.03.2021,Введено в эксплуатацию,180.0,0.556,100,10200.56,1.0,10200.56,0.0
120,111,Принтер этикеток Zebra GK420t,11013602000038.0,330.28.23.23,2.0,100% при вводе в эксплуатацию,17.11.2020,Введено в эксплуатацию,36.0,2.778,100,35640.0,1.0,35640.0,0.0
121,112,Гардероб глубокий для кабинета руководителя,11013606002498.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,21.11.2019,Введено в эксплуатацию,180.0,0.556,100,17039.72,1.0,17039.72,0.0
