Основные средства,Инвентарный номер,ОКОФ,Амортизационная группа,Способ начисления амортизации,Дата принятия к учету,Состояние,Срок полезного использования,"Мес. норма износа, %","Износ, %",Балансовая стоимость,Количество,Сумма амортизации,Остаточная стоимость,Номер счёта,Дата,Классификатор
"IP-камера купольная RVi-IPC33VS (2.8 мм,) (система видеонаблюдения)",11013403000073.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100.0,11192.84,1.0,11192.84,0.0,101,31.03.2022,101.34
"Система СКУД (Нижний Сусальный пер, дом 5, стр 19, пом:1,3,4,13,14,16)",11013404000342.0,320.26.30.11.130,4.0,Линейный,13.12.2019,Введено в эксплуатацию,84.0,1.19,32.14,239847.0,1.0,77093.64,162753.36,101,31.03.2022,101.34
"Система СКУД (Кожевнеческая ул., дом 10 стр 1, этаж 10, пом 2-15, 19-36)",11013404000340.0,320.26.30.11.130,4.0,Линейный,19.11.2019,Введено в эксплуатацию,84.0,1.19,33.33,190731.0,1.0,63577.08,127153.92,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003668.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003669.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003674.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
Автоматизированной системы хранения ключей (АСХК),11013406003794.0,330.26.30.50,6.0,Линейный,02.12.2021,Введено в эксплуатацию,180.0,0.556,1.67,590470.54,1.0,9841.17,580629.37,101,31.03.2022,101.34
Телевизор  (Samsung SyncMater UE40J5100),4101340400002.0,320.26.30.1,4.0,100% при вводе в эксплуатацию,02.09.2015,Введено в эксплуатацию,84.0,1.19,100.0,27750.0,1.0,27750.0,0.0,101,31.03.2022,101.34
IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000071.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100.0,11192.71,1.0,11192.71,0.0,101,31.03.2022,101.34
"Система СКУД (Нижний Сусальный пер. дом 5 стр 15,17)",11013404000626.0,320.26.30.11.130,4.0,Линейный,26.05.2020,Введено в эксплуатацию,84.0,1.19,26.19,184042.0,1.0,48201.56,135840.44,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000163.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003659.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003660.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003664.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
Система СКУД,11013404000361.0,320.26.30.11.130,4.0,Линейный,19.11.2020,Введено в эксплуатацию,84.0,1.19,19.05,483700.0,1.0,92133.28,391566.72,101,31.03.2022,101.34
IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000067.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100.0,11192.71,1.0,11192.71,0.0,101,31.03.2022,101.34
IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000070.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100.0,11192.71,1.0,11192.71,0.0,101,31.03.2022,101.34
Система СКУД (Пресненская наб. д.6 стр.2 этаж 6),11013404000788.0,320.26.30.11.130,4.0,Линейный,09.09.2021,Введено в эксплуатацию,84.0,1.19,7.14,431675.1,1.0,30833.94,400841.16,101,31.03.2022,101.34
Система видеонаблюдения (Пресненская наб. д.6 стр.2 этаж 6),11013404000789.0,320.26.30.11.130,4.0,Линейный,09.09.2021,Введено в эксплуатацию,84.0,1.19,7.14,587877.1,1.0,41991.24,545885.86,101,31.03.2022,101.34
Дозиметр-радиометр МКС-03СА,11013403010741.0,330.26.51.41,3.0,100% при вводе в эксплуатацию,14.03.2022,Введено в эксплуатацию,60.0,1.667,100.0,41551.2,1.0,41551.2,0.0,101,31.03.2022,101.34
"Система СКУД (Нижний Сусальный пер, дом 5, стр 17, этаж 6, пом 1, комната 1)",11013404000339.0,320.26.30.11.130,4.0,100% при вводе в эксплуатацию,17.10.2019,Введено в эксплуатацию,84.0,1.19,100.0,76545.18,1.0,76545.18,0.0,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0301-B305,11013402000179.0,320.26.30.11.130,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000166.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000171.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000173.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100.0,54043.5,1.0,54043.5,0.0,101,31.03.2022,101.34
"Система СКУД (Яковоапостольский пер., дом 12, стр. 1, этаж 3 помещение 9)",11013404000357.0,320.26.30.11.130,4.0,100% при вводе в эксплуатацию,27.08.2020,Введено в эксплуатацию,84.0,1.19,100.0,68456.14,1.0,68456.14,0.0,101,31.03.2022,101.34
Система СКУД,11013404000363.0,320.26.30.11.130,4.0,Линейный,30.11.2020,Введено в эксплуатацию,84.0,1.19,19.05,565609.0,1.0,107735.04,457873.96,101,31.03.2022,101.34
Биометрическая система СКУД,11013404000364.0,320.26.30.11.130,4.0,Линейный,17.12.2020,Введено в эксплуатацию,84.0,1.19,17.86,203279.93,1.0,36300.0,166979.93,101,31.03.2022,101.34
Логгер Testo 174T с USB-интерфейсом,11013403000445.0,330.26.51.51,3.0,100% при вводе в эксплуатацию,22.07.2020,Введено в эксплуатацию,60.0,1.667,100.0,12706.5,1.0,12706.5,0.0,101,31.03.2022,101.34
"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",11013405000017.0,330.28.25.13.110,5.0,100% при вводе в эксплуатацию,28.10.2020,Введено в эксплуатацию,120.0,0.833,100.0,15004.26,1.0,15004.26,0.0,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003671.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003673.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100.0,21342.75,1.0,21342.75,0.0,101,31.03.2022,101.34
Станция рабочая с экраном на металлоопорах на два рабочих места,11013606002899.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,18.08.2020,Введено в эксплуатацию,180.0,0.556,100.0,14285.0,1.0,14285.0,0.0,101,31.03.2022,101.36
Станция рабочая с экраном на металлоопорах на два рабочих места,11013606002901.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,18.08.2020,Введено в эксплуатацию,180.0,0.556,100.0,14285.0,1.0,14285.0,0.0,101,31.03.2022,101.36
Станция рабочая с экраном на металлоопорах на два рабочих места,11013606002906.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,18.08.2020,Введено в эксплуатацию,180.0,0.556,100.0,14285.0,1.0,14285.0,0.0,101,31.03.2022,101.36
"Кресло для персонала CHAIRMAN 901,экокожа, черный/серый",11013606004416.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,31.03.2021,Введено в эксплуатацию,180.0,0.556,100.0,10200.56,1.0,10200.56,0.0,101,31.03.2022,101.36
