,Unnamed: 0,Основное средство,Инвентарный номер,ОКОФ,Амортизационная группа,Способ начисления амортизации,Дата принятия к учету,Состояние,Срок полезного использования,"Мес. норма износа, %","Износ, %",Балансовая стоимость,Количество,Сумма амортизации,Остаточная стоимость
15,11,"Система СКУД (Яковоапостольский пер., д.12, стр. 1, этаж 6 помещение 3,4)",11013404000358.0,320.26.30.11.130,4.0,100% при вводе в эксплуатацию,27.08.2020,Введено в эксплуатацию,84.0,1.19,100,69416.28,1.0,69416.28,0.0
16,12,"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",11013405000015.0,330.28.25.13.110,5.0,100% при вводе в эксплуатацию,28.10.2020,Введено в эксплуатацию,120.0,0.833,100,15004.26,1.0,15004.26,0.0
17,13,"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",11013405000016.0,330.28.25.13.110,5.0,100% при вводе в эксплуатацию,28.10.2020,Введено в эксплуатацию,120.0,0.833,100,15004.26,1.0,15004.26,0.0
18,14,Система СКУД,11013404000365.0,320.26.30.11.130,4.0,Линейный,15.12.2020,Введено в эксплуатацию,84.0,1.19,17.86,220512.0,1.0,39377.1,181134.9
19,15,"Огнетушитель  ""Bontel"" 2 кг",4101340400014.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100,4300.0,1.0,4300.0,0.0
20,16,"Огнетушитель  ""Bontel"" 2 кг",4101340400015.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100,4300.0,1.0,4300.0,0.0
21,17,"Огнетушитель  ""Bontel"" 2 кг",4101340400019.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100,4300.0,1.0,4300.0,0.0
22,18,"Огнетушитель  ""Bontel"" 2 кг",4101340400021.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100,4300.0,1.0,4300.0,0.0
23,19,Ручная гидравлическая тележка KRONA CL 25-115,11013404000309.0,330.28.22.14.159,4.0,100% при вводе в эксплуатацию,16.04.2019,Введено в эксплуатацию,84.0,1.19,100,16915.0,1.0,16915.0,0.0
24,20,Ручная гидравлическая тележка KRONA CL 25-115,11013404000310.0,330.28.22.14.159,4.0,100% при вводе в эксплуатацию,16.04.2019,Введено в эксплуатацию,84.0,1.19,100,16915.0,1.0,16915.0,0.0
25,21,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003661.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
26,22,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003663.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
27,23,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003666.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
28,24,Тепловизор CEM DT-870,11013403000449.0,330.26.51.66,3.0,100% при вводе в эксплуатацию,19.08.2020,Введено в эксплуатацию,60.0,1.667,100,56980.0,1.0,56980.0,0.0
29,25,Телевизор  (Samsung SyncMater UE40J5100),4101340400001.0,320.26.30.1,4.0,100% при вводе в эксплуатацию,02.09.2015,Введено в эксплуатацию,84.0,1.19,100,27750.0,1.0,27750.0,0.0
30,26,Считыватель ESMART Reader Stone (система контроля удаленного доступа),11013406000075.0,330.26.70,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,16694.7,1.0,16694.7,0.0
31,27,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000066.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.71,1.0,11192.71,0.0
32,28,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000068.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.71,1.0,11192.71,0.0
33,29,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000069.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.71,1.0,11192.71,0.0
34,30,"Блок питания БИРП-12/1,6 (система контроля удаленного доступа)",11013401000005.0,320.26.30.11.190,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,10004.66,1.0,10004.66,0.0
35,31,"Блок питания БИРП-12/1,6 (система контроля удаленного доступа)",11013401000006.0,320.26.30.11.190,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,10004.66,1.0,10004.66,0.0
36,32,Настенный кондиционер,11013405000003.0,330.28.25.12.190,5.0,100% при вводе в эксплуатацию,17.10.2019,Введено в эксплуатацию,120.0,0.833,100,42174.0,1.0,42174.0,0.0
37,33,Система вентиляции и кондиционирования,11013405000005.0,330.28.25.12.190,5.0,Линейный,22.11.2019,Введено в эксплуатацию,120.0,0.833,23.33,177867.58,1.0,41502.44,136365.14
38,34,"Медиа-панель LED 40"" Samsung UE40MU6103UXRU",4101340401106.0,320.26.30.1,4.0,Линейный,16.11.2017,Введено в эксплуатацию,84.0,1.19,61.9,42900.0,1.0,26556.92,16343.08
39,35,"Медиа-панель LED 49"" Samsung UE49MU6300UXRU",4101340401107.0,320.26.30.1,4.0,Линейный,16.11.2017,Введено в эксплуатацию,84.0,1.19,61.9,54900.0,1.0,33985.64,20914.36
40,36,"Тревожная сигнализация(Яковоапостольский пер., дом 12стр1)",11013406000123.0,330.26.30.50,6.0,100% при вводе в эксплуатацию,07.04.2020,Введено в эксплуатацию,180.0,0.556,100,34801.12,1.0,34801.12,0.0
41,37,Телевизор  (Samsung SyncMater UE40J5100),4101340400003.0,320.26.30.1,4.0,100% при вводе в эксплуатацию,02.09.2015,Введено в эксплуатацию,84.0,1.19,100,27750.0,1.0,27750.0,0.0
42,38,Телевизор  (Samsung SyncMater UE40J5100),4101340400004.0,320.26.30.1,4.0,100% при вводе в эксплуатацию,02.09.2015,Введено в эксплуатацию,84.0,1.19,100,27750.0,1.0,27750.0,0.0
43,39,Кресло руководителя Амбассадор,4101360600001.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
44,40,Кресло руководителя Амбассадор,4101340600003.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
45,41,Кресло руководителя Амбассадор,4101340600006.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
46,42,Кресло руководителя Амбассадор,4101340600009.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
47,43,Кресло руководителя Амбассадор,4101340600011.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
48,44,Кресло руководителя Амбассадор,4101340600022.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
49,45,Кресло руководителя Амбассадор,4101340600012.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
50,46,Кресло руководителя Амбассадор,4101340600013.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
51,47,Кресло руководителя Амбассадор,4101340600017.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
52,48,Кресло руководителя Амбассадор,4101340600018.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
53,49,Кресло руководителя Амбассадор,4101340600020.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
54,50,Кресло руководителя Амбассадор,4101340600021.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,21.12.2016,Введено в эксплуатацию,180.0,0.556,100,4115.25,1.0,4115.25,0.0
55,51,Система автоматической пожарной сигнализации,11013406000077.0,330.26.30.50,6.0,Линейный,21.10.2019,Введено в эксплуатацию,180.0,0.556,16.11,168754.83,1.0,27188.37,141566.46
56,52,Настенный фанкойл Lessar,11013405000004.0,330.28.25.12.190,5.0,100% при вводе в эксплуатацию,17.10.2019,Введено в эксплуатацию,120.0,0.833,100,44200.0,1.0,44200.0,0.0
57,53,"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",11013405000018.0,330.28.25.13.110,5.0,100% при вводе в эксплуатацию,28.10.2020,Введено в эксплуатацию,120.0,0.833,100,15004.26,1.0,15004.26,0.0
58,54,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003670.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
59,55,"Система СКУД (Нижний Сусальный переулок, дом 5, строение16, 3 этаж, помещения 305 и 306)",11013404000362.0,320.26.30.11.130,4.0,Линейный,13.11.2020,Введено в эксплуатацию,84.0,1.19,-,105852.0,1.0,0.0,105852.0
60,56,"Система СКС (Нижний Сусальный переулок дом 5, строение 19, этаж а2)",11013404000656.0,320.26.30,4.0,Линейный,31.05.2021,Введено в эксплуатацию,26.0,5.263,65.38,445635.16,1.0,291376.87,154258.29
61,57,"Система ВОЛС (Нижний Сусальный переулок дом 5, строение 5а, этаж 4)",11013404000655.0,320.26.30,4.0,Линейный,31.05.2021,Введено в эксплуатацию,14.0,14.286,100,150401.22,1.0,150401.22,0.0
62,58,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003665.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
63,59,"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",11013405000019.0,330.28.25.13.110,5.0,100% при вводе в эксплуатацию,28.10.2020,Введено в эксплуатацию,120.0,0.833,100,15004.26,1.0,15004.26,0.0
64,60,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003672.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
65,61,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000164.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
66,62,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000168.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
67,63,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000175.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
68,64,"Система СКУД (Яковоапостольский переулок, дом № 12, строение 1)",11013404000352.0,320.26.30.11.130,4.0,Линейный,10.06.2020,Введено в эксплуатацию,84.0,1.19,25,197906.0,1.0,49476.42,148429.58
69,65,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003662.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
70,66,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003667.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
71,67,"Огнетушитель  ""Bontel"" 2 кг",4101340400016.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100,4300.0,1.0,4300.0,0.0
72,68,"Огнетушитель  ""Bontel"" 2 кг",4101340400017.0,330.28.29.22.110,4.0,100% при вводе в эксплуатацию,17.03.2016,Введено в эксплуатацию,84.0,1.19,100,4300.0,1.0,4300.0,0.0
73,69,Считыватель ESMART Reader Stone (система контроля удаленного доступа),11013406000076.0,330.26.70,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,16694.7,1.0,16694.7,0.0
74,70,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000072.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.71,1.0,11192.71,0.0
75,71,"IP-камера купольная RVi-IPC33VS (2.8 мм,) (система видеонаблюдения)",11013403000073.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.84,1.0,11192.84,0.0
76,72,"Система СКУД (Нижний Сусальный пер, дом 5, стр 19, пом:1,3,4,13,14,16)",11013404000342.0,320.26.30.11.130,4.0,Линейный,13.12.2019,Введено в эксплуатацию,84.0,1.19,32.14,239847.0,1.0,77093.64,162753.36
77,73,"Система СКУД (Кожевнеческая ул., дом 10 стр 1, этаж 10, пом 2-15, 19-36)",11013404000340.0,320.26.30.11.130,4.0,Линейный,19.11.2019,Введено в эксплуатацию,84.0,1.19,33.33,190731.0,1.0,63577.08,127153.92
78,74,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003668.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
79,75,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003669.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
80,76,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003674.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
81,77,Автоматизированной системы хранения ключей (АСХК),11013406003794.0,330.26.30.50,6.0,Линейный,02.12.2021,Введено в эксплуатацию,180.0,0.556,1.67,590470.54,1.0,9841.17,580629.37
82,78,Телевизор  (Samsung SyncMater UE40J5100),4101340400002.0,320.26.30.1,4.0,100% при вводе в эксплуатацию,02.09.2015,Введено в эксплуатацию,84.0,1.19,100,27750.0,1.0,27750.0,0.0
83,79,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000071.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.71,1.0,11192.71,0.0
84,80,"Система СКУД (Нижний Сусальный пер. дом 5 стр 15,17)",11013404000626.0,320.26.30.11.130,4.0,Линейный,26.05.2020,Введено в эксплуатацию,84.0,1.19,26.19,184042.0,1.0,48201.56,135840.44
85,81,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000163.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
86,82,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003659.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
87,83,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003660.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
88,84,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003664.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
89,85,Система СКУД,11013404000361.0,320.26.30.11.130,4.0,Линейный,19.11.2020,Введено в эксплуатацию,84.0,1.19,19.05,483700.0,1.0,92133.28,391566.72
90,86,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000067.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.71,1.0,11192.71,0.0
91,87,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),11013403000070.0,330.26.70.13,3.0,100% при вводе в эксплуатацию,28.10.2019,Введено в эксплуатацию,60.0,1.667,100,11192.71,1.0,11192.71,0.0
92,88,Система СКУД (Пресненская наб. д.6 стр.2 этаж 6),11013404000788.0,320.26.30.11.130,4.0,Линейный,09.09.2021,Введено в эксплуатацию,84.0,1.19,7.14,431675.1,1.0,30833.94,400841.16
93,89,Система видеонаблюдения (Пресненская наб. д.6 стр.2 этаж 6),11013404000789.0,320.26.30.11.130,4.0,Линейный,09.09.2021,Введено в эксплуатацию,84.0,1.19,7.14,587877.1,1.0,41991.24,545885.86
94,90,Дозиметр-радиометр МКС-03СА,11013403010741.0,330.26.51.41,3.0,100% при вводе в эксплуатацию,14.03.2022,Введено в эксплуатацию,60.0,1.667,100,41551.2,1.0,41551.2,0.0
95,91,"Система СКУД (Нижний Сусальный пер, дом 5, стр 17, этаж 6, пом 1, комната 1)",11013404000339.0,320.26.30.11.130,4.0,100% при вводе в эксплуатацию,17.10.2019,Введено в эксплуатацию,84.0,1.19,100,76545.18,1.0,76545.18,0.0
96,92,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0301-B305,11013402000179.0,320.26.30.11.130,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
97,93,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000166.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
98,94,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000171.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
99,95,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,11013402000173.0,320.26.30.11,2.0,100% при вводе в эксплуатацию,06.05.2020,Введено в эксплуатацию,36.0,2.778,100,54043.5,1.0,54043.5,0.0
100,96,"Система СКУД (Яковоапостольский пер., дом 12, стр. 1, этаж 3 помещение 9)",11013404000357.0,320.26.30.11.130,4.0,100% при вводе в эксплуатацию,27.08.2020,Введено в эксплуатацию,84.0,1.19,100,68456.14,1.0,68456.14,0.0
101,97,Система СКУД,11013404000363.0,320.26.30.11.130,4.0,Линейный,30.11.2020,Введено в эксплуатацию,84.0,1.19,19.05,565609.0,1.0,107735.04,457873.96
102,98,Биометрическая система СКУД,11013404000364.0,320.26.30.11.130,4.0,Линейный,17.12.2020,Введено в эксплуатацию,84.0,1.19,17.86,203279.93,1.0,36300.0,166979.93
103,99,Логгер Testo 174T с USB-интерфейсом,11013403000445.0,330.26.51.51,3.0,100% при вводе в эксплуатацию,22.07.2020,Введено в эксплуатацию,60.0,1.667,100,12706.5,1.0,12706.5,0.0
104,100,"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",11013405000017.0,330.28.25.13.110,5.0,100% при вводе в эксплуатацию,28.10.2020,Введено в эксплуатацию,120.0,0.833,100,15004.26,1.0,15004.26,0.0
105,101,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003671.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
106,102,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",11013406003673.0,330.26.60.13,6.0,100% при вводе в эксплуатацию,11.11.2020,Введено в эксплуатацию,180.0,0.556,100,21342.75,1.0,21342.75,0.0
107,"101.36, Инвентарь производственный и хозяйственный – иное движимое имущество учреждения",,,,,,,,,,,34186787.37,2882.0,33262672.07,924115.3
108,1,,,,,,,,,,,34186787.37,2882.0,33262672.07,924115.3
109,04100000000000000,,,,,,,,,,,34186787.37,2882.0,33262672.07,924115.3
110,Кузнецов Максим Сергеевич,,,,,,,,,,,34186787.37,2882.0,33262672.07,924115.3
111,,,,,,,,,,,,34186787.37,2882.0,33262672.07,924115.3
112,103,Станция рабочая с экраном на металлоопорах на два рабочих места,11013606002899.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,18.08.2020,Введено в эксплуатацию,180.0,0.556,100,14285.0,1.0,14285.0,0.0
113,104,Станция рабочая с экраном на металлоопорах на два рабочих места,11013606002901.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,18.08.2020,Введено в эксплуатацию,180.0,0.556,100,14285.0,1.0,14285.0,0.0
114,105,Станция рабочая с экраном на металлоопорах на два рабочих места,11013606002906.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,18.08.2020,Введено в эксплуатацию,180.0,0.556,100,14285.0,1.0,14285.0,0.0
115,106,"Кресло для персонала CHAIRMAN 901,экокожа, черный/серый",11013606004416.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,31.03.2021,Введено в эксплуатацию,180.0,0.556,100,10200.56,1.0,10200.56,0.0
116,107,Термогигрометр TESTO 410-2,11013603000141.0,330.26.51.51,3.0,100% при вводе в эксплуатацию,15.07.2020,Введено в эксплуатацию,60.0,1.667,100,14060.0,1.0,14060.0,0.0
117,108,"Кресло для персонала CHAIRMAN 480,экокожа, черный",11013606004414.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,31.03.2021,Введено в эксплуатацию,180.0,0.556,100,13585.98,1.0,13585.98,0.0
118,109,Принтер этикеток Zebra GK420t,11013602000038.0,330.28.23.23,2.0,100% при вводе в эксплуатацию,17.11.2020,Введено в эксплуатацию,36.0,2.778,100,35640.0,1.0,35640.0,0.0
119,110,Гардероб глубокий для кабинета руководителя,11013606002498.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,21.11.2019,Введено в эксплуатацию,180.0,0.556,100,17039.72,1.0,17039.72,0.0
120,111,Перегородка мобильная 2055х2500 мм,11013600000041.0,330.31.01.11,6.0,Линейный,12.12.2019,Введено в эксплуатацию,180.0,0.556,15,184800.0,1.0,27720.09,157079.91
121,112,"Доска магнитно-маркерная BRAUBERG PREMIUM, 2-сторонняя, 120х180 см, на стенде, ГАРАНТИЯ 10 лет",11013606002728.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,09.12.2019,Введено в эксплуатацию,180.0,0.556,100,10125.71,1.0,10125.71,0.0
