,МОЛ,Цена,Количество,Сумма
80,"Лезвие Carbide (5шт.) для ножа Stenley 0-11-800, шт",219.96,3.0,659.88
81,"Лента K-FLEX, шт",679.34,6.0,4076.04
82,"Лента Scotch монтажная двухсторонняя прозрачная 19 мм*1,5м, шт",630.86,29.0,18295.05
83,"Лента оградительная красно-белая, шт",146.25,12.0,1755.0
84,"Лента-фум, рул",83.5,4.0,334.0
85,"Магнитный браслет с неодимовыми магнитами MasterProf. HS.110038, шт",682.5,1.0,682.5
86,"Мастика для опечатывания 100 г, ",60.48,20.0,1209.6
87,"Мини-валик малярный в сборе STAYER MASTER DUALON 03-05812-11, ",172.8,8.0,1382.4
88,"Монтировка АВТОДЕТАЛЬ, шт",819.95,1.0,819.95
89,"Набор бит KRAFTOOL 25556-H43, компл",1164.15,1.0,1164.15
90,"Набор отверток диэлектрических 1000В с пробником, 8 предметов, пластиковый кейс, Энкор 19835, компл",676.6,1.0,676.6
91,"Набор силовых отверток с держателем, 6предметов МАСТАК 04-6GRB, к-т",2068.5,2.0,4137.0
92,"Насадка для шуруповерта Torsion PH2 25мм, шт",19.04,16.0,304.64
93,"Настенный кондиционер DAIKIN FAA71A/RR71BV Nord-40T (пульт BRC1H519W7), шт",267641.64,1.0,267641.64
94,"Нож кровельный Stenley 99 RETRACTABLE 2-10-099 с трапециевидным лезвием, ",452.08,1.0,452.08
95,"Отвертка тестер 70-250 В,SPARTA, шт",259.35,2.0,518.7
96,"Очиститель монтажной пены, шт",208.75,2.0,417.5
97,"Пакет ПНД 25+12*45 12мкм, 100 шт.уп.,белый, упак",54.95,3.0,164.85
98,"Перчатки рабочие трикотажные Комус , упак",147.12,2.0,294.24
99,"Пистолет для герметика Inforce, шт",208.75,1.0,208.75
100,"пистолет для пены, шт",501.0,4.0,2004.0
101,"Пленка воздушно-пузырчатая, шт",964.8,1.0,964.8
102,"Пленка воздушно-пузырьковая трехслойная 1,5*50 м, рул",2244.95,1.0,2244.95
103,"Пленка укрывная 2,7*20м с малярной лентой (для крепления к поверхности), шт",668.0,3.0,2004.0
104,"Полотно техническое вафельное , рул",1822.36,2.0,3644.72
105,"Присоска для снятия стекол двойная TOPEX 14А780, шт",770.25,1.0,770.25
106,"Растворитель 646, м3",167.0,8.0,1336.0
107,"Розетка RJ-45, шт",49.75,66.0,3283.5
108,"Саморез 4,2*32 ШСММ с прессшайбой, упак",219.35,1.0,219.35
109,"Саморез Tech-krep 3.5*16 ШСГД редкая резьба, упак",312.0,1.0,312.0
110,"Саморез прессшайба ШСММ 4,2*19 мм острый оцинкованный, шлиц PY2, упак",175.5,1.0,175.5
111,"Саморез с прессшайбой сверло 4,2*25 ШСММ, упак",195.0,1.0,195.0
112,"Саморез ШСГМ 3,5*51, упак",170.6,1.0,170.6
113,"Саморезы универсальные оцинкованные 3,5*30 мм, шт",2.34,1000.0,2340.0
114,"саморезы универсальные оцинкованные 6*80, шт",3.34,200.0,668.0
115,"Сверло HSS 3*61 мм по металлу, шт",58.45,3.0,175.35
116,"Сверло по кафелю и стеклу Курс 6 мм, шт",88.51,12.0,1062.12
117,"Сверло по металлу HSS-CO (3.5*70*39 mm), к-т",62.46,4.0,249.84
118,"Сверло по металлу HSS-Co 4.5*80 мм Dexter Pro, шт",75.15,8.0,601.2
119,"Сверло спиральное HSS 6.0*93mm ""MP 10, шт",91.85,4.0,367.4
120,"Сетевой фильтр Defender DFS 153,6роз./3м/10А/125Дж,черный, шт",242.6,36.0,8733.6
121,"Сетевой фильтр Defender DFS 605.6роз./5м/10А/220Дж,белый, шт",386.97,86.0,33279.42
122,"Сетевой фильтр PILOT-S.6роз./5м/10Ф/80ДЖ, белый, шт",733.7,47.0,34483.9
123,"Сетевой фильтр PILOT-S.6роз./7м/10А/80Дж,белый, шт",850.41,33.0,28063.53
124,"Силиконовая смазка 400 мл Akfix YA14, ",345.6,7.0,2419.2
125,"Силиконовая смазка 400 мл. Akfiks YA14, шт",258.85,1.0,258.85
126,"Силиконовый герметик, прозрачный SOUDAL PROFIL, шт",169.5,6.0,1017.0
127,"Сменное жало держатель для бит Dexter, шт",321.75,1.0,321.75
128,"Соединительная клемма 221-415, шт",55.72,29.0,1615.88
129,"Стекло для пожарного шкафа ТОИР-М, шт",39.5,2.0,79.0
130,"Стол приставной на металлокаркасе коллекции Тандем-А, 60*60*75 см цвет дуб альпийский арт. ПК-ТНА-СТП60*60-В2-30, шт",9340.65,5.0,46703.25
131,"Стрейч-пленка для ручной упаковки, 20мкм*50 см*220 м,престрейч 180%, 6 шт. в упак., упак",1648.5,4.0,6594.0
132,"Стяжка межсекционная мебельная, М6*30, шт",4.01,100.0,401.0
133,"Телескопический удлинитель для малярных валиков, шт",292.25,3.0,876.75
134,"Уголок крепежный услиенный 50*50*35*2 мм, шт",16.7,26.0,434.2
135,"Удлинитель 25 м на катушке LUX ПВС 2*0,75, 4 розетки б/з 24025, шт",1144.25,3.0,3432.75
136,"Удлинитель в бухте POWER CUBE, 1 розетка с заземлением, 10м, 3х0,75мм, 1300Вт, оранж, PC-EG1-B-10, шт",375.99,3.0,1127.97
137,"Удлинитель РАДИСТ ПРЕМИУМ P16-012, 3 розетки с заземлением, 7м, 3х0,75мм, 1300Вт, белый, шт",258.02,13.0,3354.26
138,"Чашка для опечатывания с флажком , шт",733.2,15.0,10998.0
139,"Шпатель KRAFTOOL 10035-100, ",420.32,2.0,840.64
140,"Шпатель STAYER MASTER 60 мм 10041-06 Высота лезвия, ",179.6,2.0,359.2
141,"Шпатель STAYER PROFESSIONAL 10045-20, ",569.04,2.0,1138.08
142,"Штангенциркуль 150мм TOREX 31C615, шт",579.64,1.0,579.64
143,"Шуруп-крюк (HS) 6*60, шт",16.7,26.0,434.2
144,"Экран на рабочий стол коллекции Тандем-А,140*48 смс комплектом крепежа, арт.ПТ-ТНА-ЭКР 140*2/НК-В1/3-297, шт",3618.3,26.0,94075.8
145,"Экран на рабочий стол коллекции Тандем-А,150*48 смс комплектом крепежа, арт.ПТ-ТНА-ЭКР 150*2/НК-В1/3-297, шт",3664.8,11.0,40312.8
146,"Экран разделительный для стола из древесины (Древесных материалов), шт",3829.01,23.0,88067.23
147,"Экран фронтальный двухсторонний с тканевой накладкой, шт",7576.0,37.0,280312.0
148,Итого,,4616.0,1836623.01
